"filename_city","city_pretty","state","most_common_species","most_common_genus","Lat","Long","population","population_rank","number_trees","number_species","number_trees_filtered","Shannon_Wiener_Index","effective_species","max_abundance_most_common_species","max_abundance_most_common_genus","native_number_species","native_number_trees","native_Shannon_Wiener_Index","native_effective_species","number_trees_known_native_status","percent_native_trees","state_number_all_observed_species","state_number_native_species","shared_species_city_statenative","beta_diversity_city_statenative","nonnative_trees_NO_native_congener","nonnative_trees_YES_native_congener","nonnative_species_NO_native_congener","nonnative_species_YES_native_congener","nonnative_trees_PERCENTWITH_native_congeners","nonnative_species_PERCENTWITH_native_congeners","effective_species_park","effective_species_urban","percent_native_park","percent_native_urban","state_land_area_km2","Env_Long","Env_Lat","Annual_Mean_Temp","Mean_Diurnal_Range","Isothermality","Temp_Seasonality","Max_Temp_Warmest.Month","Min_Temp_Coldest_Month","Temp_Annual_Range","Mean_Temp_Wettest_Quarter","Mean_Temp_Driest_Quarter","Mean_Temp_Warmest_Quarter","Mean_Temp_Coldest_Quarter","Annual_Precip","Precip_Wettest_Month","Precip_Driest_Month","Precip_Seasonality","Precip_Wettest_Quarter","Precip_Driest_Quarter","Precip_Warmest_Quarter","Precip_Coldest_Quarter","city_incorporated_year","city_age_2021","tree_city_USA","tree_city_year","tree_city_age_2021"
"ColoradoSprings","Colorado Springs","Colorado","Pinus ponderosa","Pinus",38.8338816,-104.8213634,439886,41,25478,113,12769,2.85343010879969,17.3471826305316,0.129136183636486,0.192361903483455,19,3807,1.54136402839459,4.67095724594703,12634,0.301329745132183,3298,2720,19,2795,2897,5930,24,20,0.671802424379744,0.454545454545455,NA,NA,NA,NA,"268431",-104.8125,38.8541666666667,90,161,41,8057,297,-94,391,197,-9,197,-9,414,72,9,62,191,32,191,32,1886,135,"yes",1977,44
"Columbus","Columbus","Ohio","Fraxinus pennsylvanica","Acer",39.9611755,-82.9987942,822553,15,151937,227,119826,3.51368458383566,33.5717380593552,0.0694504974995753,0.254348966220259,79,72250,3.02770300487167,20.6497457064104,119669,0.603748673424195,3146,2041,79,2110,18447,28972,35,31,0.610978721609481,0.46969696969697,NA,NA,NA,NA,"105829",-82.9791666666667,39.9791666666667,108,117,31,9072,294,-75,369,201,-14,221,-14,957,103,54,20,302,184,288,184,1816,205,"yes",1979,42
"Dallas","Dallas","Texas","Quercus virginiana","Quercus",32.7766642,-96.7969879,1257676,9,6218,48,6198,2.65991149377902,14.2950238441477,0.199709630585578,0.34102274560413,30,4535,2.14007365471298,8.50006367558049,6138,0.738840013033561,5685,4682,30,4670,745,858,6,6,0.535246412975671,0.5,NA,NA,NA,NA,"676587",-96.8125,32.7708333333333,187,120,34,7894,356,11,345,229,96,287,83,912,130,48,31,315,167,192,167,1856,165,"yes",2005,16
"Denver","Denver","Colorado","Fraxinus pennsylvanica","Acer",39.7392358,-104.990251,649495,22,284739,290,271430,3.7677035959134,43.2805609719529,0.0906171657136419,0.145256471648686,38,35507,2.55465129782036,12.8668121897171,271333,0.130861340124496,3298,2720,38,2934,100541,135285,66,24,0.573664481439705,0.266666666666667,NA,NA,NA,NA,"268431",-104.979166666667,39.7291666666667,101,153,38,8359,308,-86,394,186,-1,213,-1,404,67,13,46,162,44,135,44,1861,160,"yes",1986,35
"DesMoines","Des Moines","Iowa","Fraxinus pennsylvanica","Acer",41.6005448,-93.6091064,207510,104,16875,70,13667,2.99307494957794,19.9469240716799,0.0985763998734578,0.261626067700095,34,9866,2.87226115835511,17.6769434125023,12161,0.811281966943508,2274,1653,34,1655,690,1605,14,8,0.699346405228758,0.363636363636364,NA,NA,NA,NA,"144669",-93.6041666666667,41.6041666666667,95,118,27,10759,301,-124,425,206,-52,227,-52,839,121,23,46,323,80,321,80,1851,170,"yes",1992,29
"Detroit","Detroit","Michigan","Populus","Quercus",42.331427,-83.0457538,688701,18,20963,84,16155,3.03744745284864,20.8519496621396,0.0636885450461692,0.123633641128026,36,8395,2.84660667167,17.2292181398128,14129,0.594168023214665,3099,2041,36,2053,2520,3214,14,16,0.560516219044297,0.533333333333333,NA,NA,NA,NA,"146435",-83.0625,42.3125,95,95,26,9519,281,-81,362,214,-19,214,-31,829,89,45,18,252,158,252,164,1806,215,"yes",1987,34
"Durham","Durham","North Carolina","Lagerstroemia","Quercus",35.9940329,-78.898619,245475,82,16030,126,15394,3.18761434060769,24.2305525903325,0.193780053706364,0.265471804159121,65,8168,2.85435222922557,17.3631861994415,12226,0.668084410273188,3990,2931,65,2927,1383,2675,20,17,0.659191720059142,0.459459459459459,NA,NA,NA,NA,"125920",-78.8958333333333,35.9791666666667,149,132,38,7634,317,-23,340,245,102,245,47,1145,113,79,12,323,250,323,276,1869,152,"yes",1983,38
"Fresno","Fresno","California","Cedrus deodara","Quercus",36.7468422,-119.7725868,509924,34,6980,57,6069,3.04814681468176,21.0762500120494,0.121334845294022,0.264539121982828,7,883,1.06584049854859,2.90327815993371,6061,0.145685530440521,7264,5571,7,5614,2907,2271,21,15,0.438586326767092,0.416666666666667,NA,NA,NA,NA,"403466",-119.770833333333,36.7291666666667,169,153,44,6841,366,24,342,100,256,256,82,272,52,0,83,146,3,3,137,1885,136,"no",NA,0
"GardenGrove","Garden Grove","California","Lagerstroemia indica","Lagerstroemia",33.7739053,-117.9414477,175140,135,17522,210,17254,3.53259950312036,34.2127883699465,0.136088186067986,0.136088186067986,14,399,1.75879221269394,5.80542144404114,17129,0.023293829178586,7264,5571,14,5753,13781,2949,101,25,0.176270173341303,0.198412698412698,NA,NA,NA,NA,"403466",-117.9375,33.7708333333333,175,119,55,3342,283,68,215,139,213,221,135,300,66,0,91,175,4,9,166,1956,65,"no",NA,0
"GrandRapids","Grand Rapids","Michigan","Acer platanoides","Acer",42.9633599,-85.6680863,192294,123,84361,155,67554,3.0395298695275,20.8954173531172,0.294114260216199,0.485512357318671,61,32389,2.85950877455793,17.4529514967008,67554,0.479453474257631,3099,2041,61,2074,5594,29571,30,28,0.840921370681075,0.482758620689655,NA,NA,NA,NA,"146435",-85.6875,42.9791666666667,86,110,29,9450,280,-93,373,194,-29,203,-40,885,100,37,22,266,153,251,160,1850,171,"yes",1998,23
"Greensboro","Greensboro","North Carolina","Quercus phellos","Quercus",36.0726354,-79.7919754,279639,68,6589,335,4928,3.23716842377733,25.4615233338705,0.0794953640370877,0.135430916552668,133,3358,3.36046928820809,28.8027044776809,4918,0.682797885319235,3990,2931,133,3000,760,800,74,48,0.512820512820513,0.39344262295082,NA,NA,NA,NA,"125920",-79.8125,36.0625,146,124,37,7664,312,-23,335,243,99,243,44,1130,112,76,11,318,251,318,267,1808,213,"yes",1991,30
"Honolulu","Honolulu","Hawaii","Cocos nucifera","Cocos",21.3069444,-157.8583333,347884,54,15440,216,14393,3.65046492201938,38.4925579273083,0.120180503019444,0.120180503019444,8,63,1.80949919182702,6.10738803636513,14293,0.00440775204645631,2930,1339,8,1539,12871,1359,132,15,0.0955024595924104,0.102040816326531,NA,NA,NA,NA,"16635",-157.854166666667,21.3125,242,82,66,1427,301,178,123,231,257,258,223,928,125,37,41,361,121,124,316,1907,114,"yes",1981,40
"Houston","Houston","Texas","Lagerstroemia indica","Quercus",29.7604267,-95.3698028,2195914,4,215139,198,207179,3.00165360378134,20.1187779191379,0.209520117618694,0.315268211278725,89,125123,2.59799166547818,13.4367254793167,203322,0.615393317004554,5685,4682,89,4702,69097,9102,42,26,0.116395350324173,0.382352941176471,NA,NA,NA,NA,"676587",-95.3541666666667,29.7708333333333,205,98,36,6146,334,64,270,266,166,280,122,1156,131,67,19,348,226,332,248,1837,184,"yes",1985,36
"HuntingtonBeach","Huntington Beach","California","Syagrus romanzoffianum","Syagrus",33.660297,-117.9992265,197575,117,55828,277,45010,3.8694373788231,47.9154202656198,0.103520721836437,0.103520721836437,29,1839,2.22017599798299,9.20895148015165,44780,0.0410674408217954,7264,5571,29,5790,32181,10760,112,25,0.250576372231667,0.182481751824818,NA,NA,NA,NA,"403466",-117.979166666667,33.6458333333333,170,107,54,3122,268,72,196,136,205,213,133,291,64,0,93,171,4,8,164,1909,112,"yes",2002,19
"Indianapolis","Indianapolis","Indiana","Acer saccharum","Acer",39.768403,-86.158068,843393,12,98942,147,89598,3.51716567010423,33.6888078224775,0.0724284406594876,0.163349686815391,67,58945,3.25994331948192,26.0480606831009,80266,0.734370717364762,2865,2101,67,2114,8722,12599,19,23,0.590919750480747,0.547619047619048,NA,NA,NA,NA,"92789",-86.1458333333333,39.7708333333333,110,114,30,9467,298,-80,378,208,-18,228,-18,1010,116,58,20,314,193,297,193,1847,174,"yes",1988,33
"Irvine","Irvine","California","Pinus canariensis","Eucalyptus",33.6839473,-117.7946942,236716,85,58364,123,54821,3.46548722035106,31.992043151048,0.0792466547802455,0.243452370648618,11,5188,1.08452490804714,2.95803414663483,54813,0.0946490795979056,7264,5571,11,5672,33999,15626,55,18,0.31488161209068,0.246575342465753,NA,NA,NA,NA,"403466",-117.8125,33.6875,171,121,56,3325,279,63,216,135,209,217,132,295,63,1,94,176,5,10,165,1971,50,"yes",1990,31
"Jerseycity","Jersey City","New Jersey","Thuja occidentalis","Quercus",40.7281575,-74.0776417,257342,74,774,31,771,2.73296071367493,15.3783505772608,0.143410852713178,0.250645994832041,19,614,2.37052202017178,10.7029779964692,763,0.804718217562254,3207,2063,19,2056,38,111,7,4,0.74496644295302,0.363636363636364,NA,NA,NA,NA,"19047",-74.0625,40.7291666666667,120,92,27,8780,293,-46,339,224,5,231,5,1154,109,78,10,311,255,303,255,1838,183,"no",NA,0
"Knoxville","Knoxville","Tennessee","Acer rubrum","Acer",35.9606384,-83.9207392,183270,128,10000,137,7993,3.7928926102726,44.38460212365,0.0815814620162446,0.206043956043956,70,5536,3.36153320793668,28.8333645502476,7903,0.700493483487283,3102,2422,70,2419,1164,1203,19,21,0.508238276299113,0.525,NA,NA,NA,NA,"106798",-83.9375,35.9791666666667,141,124,36,7913,308,-31,339,52,199,240,36,1274,132,75,14,352,256,326,339,1815,206,"yes",1991,30
"LasVegas","Las Vegas","Nevada","Pinus brutia","Pinus",36.1699412,-115.1398296,603488,30,39193,120,29771,3.15586811125956,23.4734057768643,0.193773448298559,0.21888369643915,13,7500,1.31574972060492,3.72754455488057,29771,0.251923012327433,3370,2948,13,3042,11118,11153,49,16,0.500785775223385,0.246153846153846,NA,NA,NA,NA,"284332",-115.145833333333,36.1875,188,154,38,8623,397,1,396,101,229,301,80,99,12,2,33,32,12,24,30,1911,110,"yes",1992,29
"LosAngeles","Los Angeles","California","Washingtonia robusta","Washingtonia",34.0522342,-118.2436849,3884307,2,720140,528,561662,4.21892323260447,67.9602674775446,0.0662465521121748,0.071074031232935,61,36697,2.10992182605877,8.24759651229979,560167,0.0655108208802018,7264,5571,61,5977,395052,128418,164,41,0.245320648747779,0.2,NA,NA,NA,NA,"403466",-118.229166666667,34.0625,183,118,54,3519,297,79,218,145,224,231,142,399,92,0,100,257,5,13,233,1850,171,"yes",1990,31
"Louisville","Louisville","Kentucky","Acer saccharum","Quercus",38.2526647,-85.7584557,609893,28,32711,227,32362,4.21925795092618,67.9830188316525,0.0553516819571865,0.224770642201835,103,27238,3.84395431578216,46.7098150880008,31856,0.855035158211954,2899,2086,103,2107,1801,2817,27,33,0.610004330879168,0.55,NA,NA,NA,NA,"102269",-85.7708333333333,38.2708333333333,131,122,33,8710,312,-49,361,127,195,240,15,1123,117,67,16,336,234,296,253,1828,193,"yes",2000,21
"Madison","Madison","Wisconsin","Acer platanoides","Acer",43.0730517,-89.4012302,243344,83,96042,99,75459,2.48299880596734,11.9771276994783,0.249943243598475,0.347588151653105,47,39817,2.17296201852458,8.7842646989132,71091,0.560084961528182,2698,1858,47,1863,2623,28651,15,18,0.916128413378525,0.545454545454545,NA,NA,NA,NA,"140268",-89.3958333333333,43.0625,78,116,27,10535,284,-135,419,207,-66,207,-66,804,99,26,38,292,94,292,94,1856,165,"yes",1989,32
"Miami","Miami","Florida","Pinus elliottii","Eugenia",25.7616798,-80.1917902,417650,44,732,104,645,3.59180736870716,36.2996234778925,0.0631868131868132,0.0686813186813187,26,232,2.60615017027684,13.5467974695051,587,0.395229982964225,4433,2974,26,3026,309,46,48,6,0.129577464788732,0.111111111111111,NA,NA,NA,NA,"138887",-80.1875,25.7708333333333,242,68,44,3041,313,159,154,271,201,278,201,1267,196,46,48,460,159,430,159,1896,125,"yes",2007,14
"Milwaukee","Milwaukee","Wisconsin","Fraxinus pennsylvanica","Acer",43.0389025,-87.9064736,599164,31,32260,113,29246,3.18823877708062,24.245687756112,0.106847605677741,0.210606769614725,53,19884,2.87839595802106,17.7857212429822,28880,0.688504155124654,2698,1858,53,1865,1549,7447,18,15,0.827812361049355,0.454545454545455,NA,NA,NA,NA,"140268",-87.8958333333333,43.0208333333333,84,96,25,9906,273,-109,382,207,-49,207,-49,808,92,31,29,269,121,269,121,1846,175,"yes",1979,42
