"filename_city","median","mean","max","min","IQR_1","IQR_2","number_clusters"
"SanJose",0.184117443501657,0.234770490574673,0.914444642667251,0.0402792457171602,0.117618038759082,0.310285252502326,195
"RanchoCucamonga",0.215718967243885,0.255371957378245,0.955960211414684,0.0391512548372642,0.138766771314854,0.322704077773308,526
"SanDiego",0.221882227314412,0.238120400137473,0.79599464573071,0.055163189624336,0.123194884554311,0.301299742548523,138
"LasVegas",0.255529776899922,0.280284621165628,1.06256572935208,0.0489570517917486,0.160401730717708,0.366228166592804,188
"Atlanta",0.265283522000733,0.285199942479995,0.802652076465602,0.0443801173358254,0.175030952180222,0.374575026890664,436
"Nashville",0.267265182607724,0.303643356077147,0.52833225471136,0.144799828838101,0.212311247676786,0.368570453116615,22
"Ontario",0.277869824710172,0.290417200267136,0.942752793686005,0.0333450129524386,0.160985979168923,0.388708983178866,490
"Arlington",0.298272263351978,0.299405985789918,0.581891436901317,0.101580677940621,0.211128499203248,0.36874197484351,125
"Seattle",0.313544417558845,0.328800116450089,0.812250513008253,0.0242451823118086,0.216806322981667,0.436066343903484,1154
"CapeCoral",0.324894690536238,0.361607792454491,1.03926699571753,0.0612094027176014,0.209295708163812,0.482172498425122,251
"GardenGrove",0.358223779418429,0.377097203304172,1.09651684266345,0.0771575799802113,0.219682359312111,0.506510269696171,98
"HuntingtonBeach",0.364220001518418,0.379260168560449,0.962049236046603,0.0454199447216162,0.260142071467862,0.494100873222291,250
"Knoxville",0.368841153886869,0.378310783012146,0.810079634224579,0.0529158388291226,0.227294674359954,0.516467362081479,70
"OverlandPark",0.376460424784934,0.442870933572097,2.87859458058704,0.0762692060306734,0.207830421174139,0.607792899828689,542
"Durham",0.384840659981493,0.444530873054675,1.00579012463159,0.0636886421301004,0.265365982415662,0.596227342288681,86
"Detroit",0.385533283324522,0.387698940794045,0.986324680521686,0.0400483671096258,0.275794310346947,0.511680521365041,135
"Columbus",0.389086975248499,0.407408911843843,2.46813496227806,0.0424861709869106,0.276589252886973,0.513041199760851,960
"Minneapolis",0.398659971897549,0.424440005251974,1.45406522230417,0.0818480085212197,0.307866823177179,0.517418066640526,1986
"AuroraCO",0.405554200697261,0.433865354885205,1.59901892349188,0.0742157368698112,0.292168247978313,0.543492065991495,353
"Baltimore",0.419407763889604,0.426812392657615,1.68562668114042,0.0342440710122641,0.308397037443279,0.533129989854341,780
"Louisville",0.42181494080876,0.432580226302424,0.949081538802825,0.0875444155744129,0.322400521113631,0.55781081043125,183
"OklahomaCity",0.423554247433507,0.411575855868838,0.902100015077288,0.0590972900922049,0.289757624975701,0.531018233132685,79
"DesMoines",0.430291225369226,0.436940815271977,0.822224191245098,0.0568945803106808,0.323167527512176,0.551976696212424,92
"StLouis",0.435036745813618,0.450924785461002,1.09422854336227,0.061957555177766,0.303579591097311,0.581145843098391,537
"Pittsburgh",0.437720819368128,0.455739286852482,1.0899321649808,0.0636630412890808,0.325198431494672,0.56946462062082,299
"Milwaukee",0.445410332815598,0.454384118980378,1.52386250618215,0.055391028538092,0.333902276117881,0.565498804238581,289
"Honolulu",0.448939731270454,0.47421151603141,1.24785247268581,0.0396458804447464,0.280231430031878,0.648586274871195,120
"Sacramento",0.449639840860006,0.456610412214208,1.20820909296741,0.0373435888034552,0.278925286581669,0.622728053599664,874
"Austin",0.470263049095519,0.556168518927136,1.19612054222338,0.141935962029175,0.375074597563263,0.70925575895765,57
"SiouxFalls",0.496828450113063,0.607748039864603,3.2888926537365,0.118957175208931,0.374931255171202,0.763516439949705,361
"Albuquerque",0.503228809750636,0.519434433597208,1.01619004333105,0.0958569075459873,0.33180831273554,0.677062497631639,33
"Anaheim",0.53433094377005,0.546779860157671,1.11140008467577,0.0717975297709281,0.397262098434491,0.686228735931039,374
"Buffalo",0.544117220353279,0.718540483610738,2.6885280447091,0.109204672302695,0.34235604803363,1.03668514030626,735
"Portland",0.548678252301409,0.537081104538315,1.23466353282209,0.0382598602174633,0.364120569041283,0.705317147354335,1412
"NewYork",0.556515278027944,0.560505691455103,1.38265240942629,0.0523797378363842,0.396153062306383,0.719637137640791,2982
"Greensboro",0.559455524403379,0.870005026935693,3.87711649165795,0.18658368709989,0.520461865564197,0.639361826071617,10
"ColoradoSprings",0.579577935093454,0.587502307111066,3.76342646409528,0.07214122199043,0.114203836028282,0.880502438970501,206
"Rochester",0.585225793652092,0.607553292781978,1.30592300363005,0.0567829691442246,0.429075746527375,0.726858057023542,298
"Madison",0.617976436794956,0.641906677112469,1.53042062130027,0.151658367290463,0.43789182351888,0.817704923417775,279
"Houston",0.713488233332932,0.716585602493458,1.72258255424793,0.0612958371658764,0.528989903810201,0.900181844910357,2636
"SantaRosa",0.714423751452778,0.744174684618741,1.18234578978907,0.31421341742804,0.600607836371064,0.90446885036654,20
"Denver",0.867321881516655,0.841009970663842,1.4176606388202,0.0754662644719818,0.740313409192414,0.989939625697332,1792
"LosAngeles",0.87997122709046,0.925304125895412,2.23231678488271,0.125840659617286,0.495683440659902,1.32747949451141,6128
"Oakland",0.882024248624748,0.889487794056983,1.42474687685304,0.525093856613686,0.786143266570373,0.989582075731129,220
"Providence",0.920773947454085,0.918106429182983,1.49292264271845,0.581327088518769,0.808918540380562,0.997768402604375,165
"SanFrancisco",0.999030062738999,1.00388859094075,1.4028922847181,0.653406503365153,0.92879178354474,1.07911323902962,1564
