"filename_city","city_pretty","state","most_common_species","most_common_genus","Lat","Long","population","population_rank","number_trees","number_species","number_trees_filtered","Shannon_Wiener_Index","effective_species","max_abundance_most_common_species","max_abundance_most_common_genus","native_number_species","native_number_trees","native_Shannon_Wiener_Index","native_effective_species","number_trees_known_native_status","percent_native_trees","state_number_all_observed_species","state_number_native_species","shared_species_city_statenative","beta_diversity_city_statenative","nonnative_trees_NO_native_congener","nonnative_trees_YES_native_congener","nonnative_species_NO_native_congener","nonnative_species_YES_native_congener","nonnative_trees_PERCENTWITH_native_congeners","nonnative_species_PERCENTWITH_native_congeners","state_land_area_km2","number_species_iNext_all","number_species_asymest_all","number_species_asymest_SE_all","number_species_asymest_CIlower_all","number_species_asymest_CIhigher_all","effective_species_iNext_all","effective_species_asymest_all","effective_species_asymest_SE_all","effective_species_asymest_CIlower_all","effective_species_asymest_CIhigher_all","number_species_givenpop_all","number_species_givenpop_method_all","number_species_givenpop_CIlower_all","number_species_givenpop_CIhigher_all","effective_species_givenpop_all","effective_species_givenpop_method_all","effective_species_givenpop_CIlower_all","effective_species_givenpop_CIhigher_all","samplecoverage_estimate_all","number_species_iNext_native","number_species_asymest_native","number_species_asymest_SE_native","number_species_asymest_CIlower_native","number_species_asymest_CIhigher_native","effective_species_iNext_native","effective_species_asymest_native","effective_species_asymest_SE_native","effective_species_asymest_CIlower_native","effective_species_asymest_CIhigher_native","number_species_givenpop_native","number_species_givenpop_method_native","number_species_givenpop_CIlower_native","number_species_givenpop_CIhigher_native","effective_species_givenpop_native","effective_species_givenpop_method_native","effective_species_givenpop_CIlower_native","effective_species_givenpop_CIhigher_native","samplecoverage_estimate_native","Env_Long","Env_Lat","Annual_Mean_Temp","Mean_Diurnal_Range","Isothermality","Temp_Seasonality","Max_Temp_Warmest.Month","Min_Temp_Coldest_Month","Temp_Annual_Range","Mean_Temp_Wettest_Quarter","Mean_Temp_Driest_Quarter","Mean_Temp_Warmest_Quarter","Mean_Temp_Coldest_Quarter","Annual_Precip","Precip_Wettest_Month","Precip_Driest_Month","Precip_Seasonality","Precip_Wettest_Quarter","Precip_Driest_Quarter","Precip_Warmest_Quarter","Precip_Coldest_Quarter","city_incorporated_year","city_age_2021","tree_city_USA","tree_city_year","tree_city_age_2021","percent_cells_empty","skew_occupied_cells","kurtosis_occupied_cells"
"Greensboro","Greensboro","North Carolina","Quercus phellos","Quercus",36.0726354,-79.7919754,279639,68,6589,335,4928,4.03274914102327,56.4157932248966,0.106128246753247,0.135430916552668,133,3358,3.36046928820809,28.8027044776809,4647,0.722616741984076,3990,2931,133,3000,523,766,69,42,0.594259115593483,0.378378378378378,125920,335,508.41,38.086,448.324,600.354,56.416,59.723,1.531,56.722,62.724,507.763,"extrapolated",453.178,562.348,59.712,"extrapolated",56.917,62.507,0.9698,133,201.427,26.117,166.214,273.971,28.803,29.745,0.789,28.803,31.292,185.757,"extrapolated",160.601,210.914,29.574,"extrapolated",28.261,30.888,0.9848,-79.8125,36.0625,146,124,37,7664,312,-23,335,243,99,243,44,1130,112,76,11,318,251,318,267,1808,213,"yes",1991,30,0.998353457738749,0.404885093278082,1.5
"Honolulu","Honolulu","Hawaii","Cocos nucifera","Cocos",21.3069444,-157.8583333,347884,54,15440,216,14393,3.77601963850512,43.6419846849853,0.125825053845619,0.120180503019444,8,63,1.80949919182702,6.10738803636513,12249,0.00514327700220426,2930,1339,8,1539,10864,1322,128,14,0.108485146889874,0.0985915492957746,16635,216,251.018,14.344,232.183,291.776,43.642,44.053,0.573,43.642,45.176,245.451,"extrapolated",227.832,263.07,43.965,"extrapolated",43.002,44.929,0.9972,8,8.492,1.305,8.029,16.33,6.107,6.512,0.551,6.107,7.592,8.492,"extrapolated",5.128,11.856,6.512,"extrapolated",5.256,7.767,0.9846,-157.854166666667,21.3125,242,82,66,1427,301,178,123,231,257,258,223,928,125,37,41,361,121,124,316,1907,114,"yes",1981,40,0.784283513097072,4.31658305298049,23.4094174354442
"Houston","Houston","Texas","Lagerstroemia indica","Quercus",29.7604267,-95.3698028,2195914,4,215139,198,207179,3.04391790338169,20.987308615399,0.213921295111956,0.315268211278725,88,125119,2.59771184385168,13.4329661189379,201662,0.620439150658032,5685,4682,89,4702,68483,8060,35,24,0.105300288726598,0.406779661016949,676587,198,205.2,5.446,199.926,224.91,20.987,20.998,0.079,20.987,21.154,165.757,"interpolated",163.226,168.289,20.939,"interpolated",20.796,21.082,0.9999,88,90,3.742,88.181,110.128,13.433,13.438,0.055,13.433,13.546,70.326,"interpolated",69.134,71.518,13.378,"interpolated",13.254,13.502,1,-95.3541666666667,29.7708333333333,205,98,36,6146,334,64,270,266,166,280,122,1156,131,67,19,348,226,332,248,1837,184,"yes",1985,36,0.77763644773358,3.93982261458621,33.1897084683559
"HuntingtonBeach","Huntington Beach","California","Syagrus romanzoffianum","Syagrus",33.660297,-117.9992265,197575,117,55828,277,45010,3.88270825426354,48.5555379058165,0.103999111308598,0.103520721836437,29,1839,2.22017599798299,9.20895148015165,36294,0.0506695321540751,7264,5571,29,5790,24777,9678,101,21,0.280888114932521,0.172131147540984,403466,277,328.36,21.054,300.722,388.2,48.556,48.742,0.352,48.556,49.431,268.711,"interpolated",260.14,277.282,48.518,"interpolated",47.801,49.234,0.999,29,41.243,13.147,31.2,97.128,9.209,9.313,0.255,9.209,9.813,40.275,"extrapolated",21.217,59.332,9.311,"extrapolated",8.827,9.795,0.9962,-117.979166666667,33.6458333333333,170,107,54,3122,268,72,196,136,205,213,133,291,64,0,93,171,4,8,164,1909,112,"yes",2002,19,0.160919540229885,3.28773941319033,21.1641399281187
"Indianapolis","Indianapolis","Indiana","Acer saccharum","Acer",39.768403,-86.158068,843393,12,98942,147,89598,3.73492628748372,41.8849380051336,0.0785955043639367,0.163349686815391,67,58945,3.25994331948192,26.0480606831009,80034,0.73649948771772,2865,2101,67,2114,8717,12372,18,22,0.586656550808478,0.55,92789,147,149.722,2.789,147.517,161.324,41.885,41.921,0.152,41.885,42.219,137.805,"interpolated",134.599,141.01,41.833,"interpolated",41.559,42.107,0.9999,67,68,1.871,67.09,78.064,26.048,26.063,0.1,26.048,26.258,60.757,"interpolated",59.612,61.901,25.975,"interpolated",25.791,26.159,1,-86.1458333333333,39.7708333333333,110,114,30,9467,298,-80,378,208,-18,228,-18,1010,116,58,20,314,193,297,193,1847,174,"yes",1988,33,NA,NA,NA
"Irvine","Irvine","California","Pinus canariensis","Eucalyptus",33.6839473,-117.7946942,236716,85,58364,123,54821,3.59946487406113,36.5786550183066,0.083508144689079,0.243452370648618,11,5188,1.08452490804714,2.95803414663483,42485,0.122113687183712,7264,5571,11,5672,21760,15537,46,18,0.416575059656273,0.28125,403466,123,124.562,1.955,123.233,133.47,36.579,36.621,0.185,36.579,36.984,120.359,"interpolated",117.275,123.444,36.558,"interpolated",36.215,36.9,0.9999,11,11,0.492,11,12.275,2.958,2.961,0.036,2.958,3.032,11,"extrapolated",9.842,12.158,2.96,"extrapolated",2.882,3.038,1,-117.8125,33.6875,171,121,56,3325,279,63,216,135,209,217,132,295,63,1,94,176,5,10,165,1971,50,"yes",1990,31,NA,NA,NA
"Jerseycity","Jersey City","New Jersey","Thuja occidentalis","Quercus",40.7281575,-74.0776417,257342,74,774,31,771,2.73971130202859,15.4825146804905,0.143968871595331,0.250645994832041,19,614,2.37052202017178,10.7029779964692,763,0.804718217562254,3207,2063,19,2056,38,111,7,4,0.74496644295302,0.363636363636364,19047,31,45.981,13.747,34.238,100.316,15.483,15.93,0.516,15.483,16.941,45.981,"extrapolated",22.886,69.075,15.943,"extrapolated",14.83,17.056,0.9922,19,21.995,4.557,19.35,44.601,10.703,10.898,0.35,10.703,11.585,21.995,"extrapolated",17.877,26.113,10.908,"extrapolated",10.172,11.644,0.9951,-74.0625,40.7291666666667,120,92,27,8780,293,-46,339,224,5,231,5,1154,109,78,10,311,255,303,255,1838,183,"no",NA,0,NA,NA,NA
"Knoxville","Knoxville","Tennessee","Acer rubrum","Acer",35.9606384,-83.9207392,183270,128,10000,137,7993,3.92641161669021,50.7246312802159,0.085449768547479,0.206043956043956,70,5536,3.36153320793668,28.8333645502476,7829,0.70711457401967,3102,2422,70,2419,1146,1147,17,21,0.500218054949847,0.552631578947368,106798,137,158.331,14.523,143.363,208.502,50.725,51.246,0.693,50.725,52.604,156.928,"extrapolated",137.946,175.91,51.23,"extrapolated",49.711,52.749,0.998,70,78.998,10.172,71.52,123.268,28.833,29.042,0.427,28.833,29.879,73.742,"extrapolated",68.027,79.458,28.946,"extrapolated",27.989,29.903,0.9989,-83.9375,35.9791666666667,141,124,36,7913,308,-31,339,52,199,240,36,1274,132,75,14,352,256,326,339,1815,206,"yes",1991,30,0.850033178500332,6.00894647421725,49.9180077056736
"LasVegas","Las Vegas","Nevada","Pinus brutia","Pinus",36.1699412,-115.1398296,603488,30,39193,120,29771,3.20061383625471,24.5475937763767,0.197776359544523,0.21888369643915,13,7500,1.31574972060492,3.72754455488057,28077,0.267122555828614,3370,2948,13,3042,9862,10715,43,15,0.520727025319532,0.258620689655172,284332,120,157.499,29.685,129.556,267.145,24.548,24.611,0.196,24.548,24.995,123.471,"extrapolated",114.826,132.116,24.56,"extrapolated",24.073,25.047,0.9995,13,13,0.492,13,14.381,3.728,3.731,0.045,3.728,3.82,13,"extrapolated",11.901,14.099,3.728,"extrapolated",3.637,3.82,1,-115.145833333333,36.1875,188,154,38,8623,397,1,396,101,229,301,80,99,12,2,33,32,12,24,30,1911,110,"yes",1992,29,0.809551543389633,2.31789645674929,9.34924528602671
"LosAngeles","Los Angeles","California","Washingtonia robusta","Washingtonia",34.0522342,-118.2436849,3884307,2,720140,528,561662,4.28512381299504,72.6115364150207,0.0676047160035751,0.071074031232935,59,36634,2.0996920255159,8.16365532783563,492381,0.0744017336168536,7264,5571,61,5977,333840,121907,127,34,0.267488321371287,0.211180124223602,403466,528,541.729,6.59,533.623,561.516,72.612,72.648,0.141,72.612,72.925,369.392,"interpolated",366.695,372.089,72.15,"interpolated",71.888,72.413,0.9999,59,65.125,6.078,60.209,90.033,8.164,8.171,0.052,8.164,8.273,48.774,"interpolated",47.104,50.445,8.145,"interpolated",8.036,8.254,0.9998,-118.229166666667,34.0625,183,118,54,3519,297,79,218,145,224,231,142,399,92,0,100,257,5,13,233,1850,171,"yes",1990,31,0.28422035480859,1.70899399658463,8.11399969115592
"Louisville","Louisville","Kentucky","Acer saccharum","Quercus",38.2526647,-85.7584557,609893,28,32711,227,32362,4.25293516764872,70.3114857670796,0.0559297942030777,0.224770642201835,103,27238,3.84395431578216,46.7098150880008,31418,0.866955248583615,2899,2086,103,2107,1780,2400,24,30,0.574162679425837,0.555555555555556,102269,227,248.124,10.847,235.185,281.522,70.311,70.595,0.456,70.311,71.489,230.416,"extrapolated",222.055,238.777,70.349,"extrapolated",69.414,71.284,0.9992,103,103.9,1.464,103.097,111.36,46.71,46.8,0.272,46.71,47.332,97.41,"interpolated",95.433,99.386,46.551,"interpolated",46.088,47.013,0.9999,-85.7708333333333,38.2708333333333,131,122,33,8710,312,-49,361,127,195,240,15,1123,117,67,16,336,234,296,253,1828,193,"yes",2000,21,0.732377538829152,2.22533386455237,11.1726021635269
"Madison","Madison","Wisconsin","Acer platanoides","Acer",43.0730517,-89.4012302,243344,83,96042,99,75459,2.65033301020983,14.1587528696539,0.277210140606157,0.347588151653105,47,39817,2.17296201852458,8.7842646989132,71090,0.560092840061893,2698,1858,47,1863,2622,28651,14,18,0.916157707926966,0.5625,140268,99,100.6,2.161,99.217,110.791,14.159,14.168,0.086,14.159,14.337,94.742,"interpolated",92.065,97.419,14.148,"interpolated",14.006,14.29,0.9999,47,47,0.611,47,48.628,8.784,8.789,0.066,8.784,8.918,43.578,"interpolated",42.457,44.699,8.768,"interpolated",8.63,8.907,1,-89.3958333333333,43.0625,78,116,27,10535,284,-135,419,207,-66,207,-66,804,99,26,38,292,94,292,94,1856,165,"yes",1989,32,0.355284552845528,0.599784426624523,2.90700204044083
"Miami","Miami","Florida","Pinus elliottii","Eugenia",25.7616798,-80.1917902,417650,44,732,104,645,3.93295820568252,51.0577939426183,0.0713178294573643,0.0686813186813187,26,232,2.60615017027684,13.5467974695051,561,0.413547237076649,4433,2974,26,3026,284,45,44,6,0.13677811550152,0.12,138887,104,180.291,34.253,136.939,280.699,51.058,58.897,3.189,52.647,65.146,180.291,"extrapolated",129.914,230.668,58.897,"extrapolated",53.553,64.24,0.9365,26,32.099,6.054,27.203,56.913,13.547,14.588,0.997,13.547,16.542,32.099,"extrapolated",3,61.197,14.588,"extrapolated",12.856,16.32,0.97,-80.1875,25.7708333333333,242,68,44,3041,313,159,154,271,201,278,201,1267,196,46,48,460,159,430,159,1896,125,"yes",2007,14,NA,NA,NA
"Milwaukee","Milwaukee","Wisconsin","Fraxinus pennsylvanica","Acer",43.0389025,-87.9064736,599164,31,32260,113,29246,3.40275021053243,30.0466210539994,0.117110032141148,0.210606769614725,53,19884,2.87839595802106,17.7857212429822,28800,0.690416666666667,2698,1858,53,1865,1549,7367,18,15,0.826267384477344,0.454545454545455,140268,113,119.4,5.922,114.37,142.897,30.047,30.11,0.219,30.047,30.539,114.805,"extrapolated",109.804,119.807,30.061,"extrapolated",29.692,30.43,0.9997,53,54.5,2.291,53.175,65.884,17.786,17.81,0.139,17.786,18.082,50.629,"interpolated",48.795,52.463,17.761,"interpolated",17.519,18.003,0.9998,-87.8958333333333,43.0208333333333,84,96,25,9906,273,-109,382,207,-49,207,-49,808,92,31,29,269,121,269,121,1846,175,"yes",1979,42,0.814207650273224,4.11099484162162,22.7960477902488
"Minneapolis","Minneapolis","Minnesota","Fraxinus pennsylvanica","Acer",44.977753,-93.2650108,400070,46,190766,106,176635,2.84617575734359,17.2217954222761,0.15968522659722,0.249131705457549,48,116601,2.32854571996245,10.2630053911437,163640,0.712545832314837,2398,1791,48,1801,6564,40475,14,16,0.860456217181488,0.533333333333333,206232,106,107.143,1.623,106.146,114.966,17.222,17.227,0.049,17.222,17.322,93.465,"interpolated",91.605,95.325,17.202,"interpolated",17.117,17.286,1,48,48.667,1.305,48.057,55.804,10.263,10.265,0.032,10.263,10.328,39.644,"interpolated",38.951,40.338,10.241,"interpolated",10.166,10.317,1,-93.2708333333333,44.9791666666667,71,112,25,11506,286,-161,447,211,-86,211,-86,738,108,21,50,310,68,310,68,1856,165,"yes",1979,42,0.143250688705234,9.39522464368332,140.416835266157
"Nashville","Nashville","Tennessee","Platanus acerifolia","Quercus",36.1626638,-86.7816016,634464,25,2059,55,2032,3.27268506824231,26.3820820169002,0.138287401574803,0.157430112800392,22,816,2.54878403233589,12.7915402229027,1928,0.423236514522822,3102,2422,22,2433,329,783,6,11,0.704136690647482,0.647058823529412,106798,55,57.999,3.239,55.535,71.804,26.382,26.777,0.62,26.382,27.991,57.999,"extrapolated",48.99,67.007,26.777,"extrapolated",25.626,27.927,0.9971,22,22.999,1.869,22.09,33.053,12.792,12.974,0.387,12.792,13.733,22.999,"extrapolated",18.343,27.654,12.974,"extrapolated",12.089,13.859,0.9976,-86.7708333333333,36.1458333333333,145,130,36,8257,322,-36,358,143,205,248,35,1214,126,69,15,347,241,283,324,1806,215,"yes",1995,26,0.996306555863343,3.08152512191371,12.567846393971
"NewOrleans","New Orleans","Louisiana","Lagerstroemia indica","Lagerstroemia",29.9510658,-90.0715323,378715,51,105813,297,102815,2.9480626317997,19.0689742939987,0.294159412537081,0.291261014011267,75,48101,2.28106905146406,9.78713777276814,100745,0.477452975333763,3274,2345,75,2492,44063,8581,93,33,0.163000531874478,0.261904761904762,111898,297,346.47,17.036,322.668,392.345,19.069,19.104,0.118,19.069,19.334,237.939,"interpolated",232.247,243.631,19.015,"interpolated",18.779,19.25,0.9994,75,78,3.24,75.535,91.811,9.787,9.795,0.075,9.787,9.943,64.507,"interpolated",62.711,66.304,9.758,"interpolated",9.612,9.903,0.9999,-90.0625,29.9375,203,105,38,5929,327,57,270,271,167,275,124,1547,167,77,17,465,313,462,390,1718,303,"yes",1983,38,NA,NA,NA
"NewYork","New York","New York","Platanus acerifolia","Acer",40.7127837,-74.0059413,8405837,1,683788,124,609023,3.29918019682902,27.0904210017016,0.142874735436921,0.136067491708438,48,180210,2.64735796443143,14.1166925284446,600038,0.300330979037994,3827,2241,48,2269,221204,198624,28,18,0.47310803471898,0.391304347826087,122057,124,124,0.007,124,124.013,27.09,27.093,0.05,27.09,27.191,122.637,"interpolated",122.291,122.983,27.047,"interpolated",26.961,27.134,1,48,48,0.007,48,48.013,14.117,14.119,0.043,14.117,14.203,47.157,"interpolated",46.961,47.354,14.085,"interpolated",14.001,14.169,1,-74.0208333333333,40.7291666666667,121,89,26,8758,293,-44,337,106,6,232,6,1147,107,78,10,308,256,299,256,1653,368,"yes",1996,25,0.21549512570549,0.22693895087534,2.61963307052405
"Oakland","Oakland","California","Platanus acerifolia","Pyrus",37.8043637,-122.2711137,406253,45,38613,164,34068,3.58371129690885,36.0069255703731,0.111189385934014,0.115670381627828,12,413,1.93111255898949,6.89717949359033,23046,0.0179206803783737,7264,5571,12,5711,16966,5667,51,15,0.250386603631865,0.227272727272727,403466,164,164.031,0.188,164.001,165.296,36.007,36.095,0.267,36.007,36.618,164.029,"extrapolated",160.162,167.897,36.014,"extrapolated",35.511,36.518,1,12,12,0.454,12,13.14,6.897,6.992,0.279,6.897,7.539,12,"extrapolated",10.903,13.097,6.992,"extrapolated",6.398,7.586,1,-122.270833333333,37.8125,146,86,50,2852,233,63,170,107,174,179,107,526,114,1,89,290,7,8,290,1852,169,"yes",1987,34,0.483516483516484,2.06652741586612,13.3510443550075
"OklahomaCity","Oklahoma City","Oklahoma","Juniperus virginiana","Quercus",35.4675602,-97.5164276,610613,27,10000,92,8784,3.53578004275546,34.3217767284056,0.0809426229508197,0.224664637583136,40,5037,2.98747059394635,19.8354470855431,8623,0.584135451698945,3019,2453,40,2465,1689,1897,10,16,0.529001673173452,0.615384615384615,177660,92,113.331,14.523,98.364,163.502,34.322,34.552,0.383,34.322,35.303,111.414,"extrapolated",93.838,128.99,34.541,"extrapolated",33.858,35.223,0.9982,40,46.249,7.55,40.973,80.123,19.835,19.928,0.242,19.835,20.403,43.408,"extrapolated",38.216,48.601,19.892,"extrapolated",19.362,20.422,0.999,-97.5208333333333,35.4791666666667,157,124,33,8740,340,-32,372,204,42,267,42,845,139,27,44,321,101,242,101,1890,131,"yes",2005,16,0.974381625441696,2.5908154952633,11.8642530741088
"Ontario","Ontario","California","Lagerstroemia indica","Lagerstroemia",34.0633443,-117.6508876,167500,144,58577,227,58184,3.95067908850452,51.9706475234264,0.079575140932215,0.0794140852800933,21,2745,1.91104415754432,6.76014376975747,53236,0.0515628522052746,7264,5571,21,5756,37324,13167,85,24,0.260779148759185,0.220183486238532,403466,227,249.533,11.597,235.714,285.27,51.971,52.088,0.259,51.971,52.596,214.643,"interpolated",208.701,220.585,51.905,"interpolated",51.336,52.475,0.9996,21,22.599,2.161,21.217,32.788,6.76,6.789,0.105,6.76,6.996,22.597,"extrapolated",16.153,29.042,6.788,"extrapolated",6.59,6.985,0.9985,-117.645833333333,34.0625,180,155,54,4607,338,52,286,131,237,244,126,394,82,2,88,224,9,17,211,1891,130,"no",NA,0,0.422794117647059,7.78754683366413,93.7778587707685
"Orlando","Orlando","Florida","Quercus virginiana","Quercus",28.5383355,-81.3792365,255483,77,68211,146,64345,2.46222112229193,11.7308382513696,0.266158986712254,0.446944511605416,49,39172,1.74653648709237,5.73470601142627,62737,0.624384334603185,4433,2974,49,3022,20496,3069,47,18,0.130235518777849,0.276923076923077,138887,146,150.545,3.832,147.081,165.114,11.731,11.745,0.075,11.731,11.893,138.615,"interpolated",134.841,142.388,11.72,"interpolated",11.577,11.863,0.9998,49,50.5,2.291,49.175,61.885,5.735,5.738,0.038,5.735,5.814,41.045,"interpolated",38.818,43.271,5.723,"interpolated",5.644,5.803,0.9999,-81.3958333333333,28.5208333333333,220,115,48,4546,329,90,239,273,169,273,158,1251,193,50,48,534,161,534,192,1875,146,"yes",1977,44,NA,NA,NA
"OverlandPark","Overland Park","Kansas","Acer rubrum","Acer",38.9822282,-94.6707917,181260,132,45148,123,43777,2.73517856028698,15.4124952498145,0.303561230783288,0.363660732235799,26,19151,2.03647432582151,7.66354235907634,41996,0.456019620916278,2302,1810,26,1881,4534,18311,26,14,0.801532063908952,0.35,211754,123,164.142,23.771,137.369,240.796,15.412,15.442,0.119,15.412,15.675,119.09,"interpolated",111.431,126.749,15.408,"interpolated",15.208,15.607,0.9995,26,32,7.28,26.93,64.721,7.664,7.67,0.066,7.664,7.799,24.064,"interpolated",22.722,25.406,7.659,"interpolated",7.545,7.773,0.9998,-94.6875,38.9791666666667,126,111,28,9652,314,-72,386,223,-4,245,-4,971,135,30,44,363,98,340,98,1960,61,"yes",1979,42,0.401047120418848,3.90197236643099,25.9170521395821
"Phoenix","Phoenix","Arizona","Fraxinus velutina","Fraxinus",33.4483771,-112.0740373,1513367,6,214,49,196,3.50914026695239,33.4195235606955,0.0969387755102041,0.158878504672897,9,39,1.68942247791999,5.41635173897232,178,0.219101123595506,4362,3725,9,3756,95,44,19,11,0.316546762589928,0.366666666666667,294207,49,56.006,5.118,50.944,74.243,33.42,39.122,2.672,33.886,44.359,56.006,"extrapolated",36.607,75.404,39.122,"extrapolated",34.246,43.999,0.9343,9,9.65,1.278,9.055,16.653,5.416,6.135,1.085,5.416,8.262,9.65,"extrapolated",4.513,14.786,6.135,"extrapolated",4.206,8.064,0.9525,-112.0625,33.4375,216,173,46,7582,409,36,373,310,248,314,122,212,28,3,45,72,15,54,67,1881,140,"yes",1986,35,NA,NA,NA
"Pittsburgh","Pittsburgh","Pennsylvania","Acer platanoides","Acer",40.4406248,-79.9958864,305841,62,45703,206,37021,3.62186960201727,37.4074395099456,0.100348450879231,0.257209742491408,85,15775,2.95911243783934,19.2808512048955,36924,0.427228902610768,3567,2159,85,2195,6611,14538,31,29,0.687408388103456,0.483333333333333,115883,206,226.631,10.19,214.257,257.549,37.407,37.529,0.288,37.407,38.093,205.984,"interpolated",198.296,213.672,37.407,"interpolated",36.894,37.92,0.9992,85,89.571,4.243,85.975,106.431,19.281,19.338,0.224,19.281,19.777,80.806,"interpolated",77.269,84.343,19.247,"interpolated",18.852,19.643,0.9995,-79.9791666666667,40.4375,104,124,33,8744,290,-78,368,192,-14,213,-14,958,101,59,17,292,192,283,192,1794,227,"yes",2005,16,0.212987012987013,2.08246916249318,9.12738316566785
"Plano","Plano","Texas","Ulmus crassifolia","Quercus",33.0198431,-96.6988856,274409,70,28375,78,22592,2.923936416773,18.6144175354933,0.161163243626062,0.228121148089452,40,18069,2.44737636745194,11.5579830046249,20675,0.873954050785973,5685,4682,40,4680,933,1673,10,14,0.641980046047583,0.583333333333333,676587,78,98.249,20.187,81.975,181.156,18.614,18.654,0.142,18.614,18.932,82.998,"extrapolated",76.335,89.661,18.632,"extrapolated",18.354,18.91,0.9996,40,46,7.321,40.923,78.993,11.558,11.573,0.095,11.558,11.759,37.912,"interpolated",35.793,40.032,11.547,"interpolated",11.333,11.761,0.9998,-96.6875,33.0208333333333,180,122,34,7900,350,0,350,222,75,279,75,984,143,51,31,339,175,209,175,1873,148,"yes",1989,32,NA,NA,NA
"Portland","Portland","Oregon","Acer platanoides","Acer",45.5230622,-122.6764816,609456,29,218602,150,173239,3.68370749485067,39.7936556916093,0.110881498969632,0.266740180585866,10,8395,1.51493060054075,4.54910541043495,72335,0.116057233704293,4389,3282,10,3412,17415,46525,52,4,0.727635283077885,0.0714285714285714,248608,150,160.286,7.789,152.749,188.485,39.794,39.813,0.115,39.794,40.038,132.497,"interpolated",130.419,134.575,39.729,"interpolated",39.487,39.972,0.9999,10,10.5,1.323,10.03,18.441,4.549,4.552,0.042,4.549,4.634,10.159,"extrapolated",8.494,11.824,4.55,"extrapolated",4.482,4.617,0.9999,-122.6875,45.5208333333333,115,107,41,5406,266,8,258,53,186,186,49,1062,172,18,58,490,89,89,448,1851,170,"yes",1977,44,0.293800539083558,1.1787508982576,4.59730791913924
"Providence","Providence","Rhode Island","Acer platanoides","Acer",41.8239891,-71.4128343,177994,134,24525,107,21621,3.14383843868265,23.1927200546696,0.141251560982378,0.246408105639067,31,6252,2.31826752424907,10.1580604592755,21052,0.296978909367281,2096,1410,31,1455,7168,7632,25,17,0.515675675675676,0.404761904761905,2678,107,108.786,2.189,107.273,118.671,23.193,23.252,0.196,23.193,23.637,108.542,"extrapolated",104.043,113.041,23.224,"extrapolated",22.778,23.669,0.9998,31,31,0.657,31,32.899,10.158,10.183,0.154,10.158,10.484,31,"extrapolated",29.263,32.737,10.17,"extrapolated",9.909,10.43,1,-71.3958333333333,41.8125,97,109,30,8622,278,-77,355,10,183,207,-16,1193,119,84,10,332,263,269,309,1636,385,"yes",1986,35,0.183520599250936,0.920853876949849,2.9904252041204
"RanchoCucamonga","Rancho Cucamonga","California","Lagerstroemia indica","Lagerstroemia",34.1063989,-117.5931084,171386,141,82947,187,75914,3.39887999534367,29.9305589024467,0.169784229522881,0.160541031996114,10,1100,1.3864243090138,4.00051982535001,68698,0.0160121109784855,7264,5571,10,5738,53077,14521,73,16,0.214814047752892,0.179775280898876,403466,187,217.153,15.165,198.889,263.479,29.931,29.976,0.151,29.931,30.271,167.297,"interpolated",162.422,172.172,29.887,"interpolated",29.581,30.193,0.9996,10,10.5,1.322,10.03,18.435,4.001,4.019,0.13,4.001,4.274,10.5,"extrapolated",8.033,12.966,4.019,"extrapolated",3.771,4.266,0.9991,-117.604166666667,34.1041666666667,180,156,53,4818,343,51,292,129,240,246,124,434,91,2,89,251,8,16,236,1977,44,"no",NA,0,0.182403433476395,1.58654034209065,6.08491389207465
"Richmond","Richmond","Virginia","Acer saccharum","Acer",37.5407246,-77.4360481,214114,99,3272,78,1794,3.30261841462851,27.1837240756162,0.126532887402453,0.262809917355372,46,1145,2.69353496620899,14.7838440489845,1765,0.648725212464589,3625,2598,46,2584,426,194,7,11,0.312903225806452,0.611111111111111,102279,78,95.99,11.219,83.85,133.324,27.184,27.975,0.825,27.184,29.592,95.99,"extrapolated",69.11,122.87,27.975,"extrapolated",26.298,29.651,0.99,46,62.885,12.714,50.54,108.798,14.784,15.218,0.506,14.784,16.209,62.841,"extrapolated",43.579,82.104,15.218,"extrapolated",13.958,16.477,0.9887,-77.4375,37.5208333333333,142,128,36,8031,316,-33,349,236,35,243,35,1088,112,77,12,314,247,311,247,1742,279,"yes",1992,29,NA,NA,NA
"Rochester","Rochester","New York","Gleditsia triacanthos","Acer",43.16103,-77.6109219,210358,103,64056,163,42274,3.64623670791422,38.3301467475199,0.14919335761934,0.16735308445153,60,16463,2.91844026250044,18.512390460131,40537,0.406122801391322,3827,2241,60,2284,11111,12963,26,27,0.538464733737642,0.509433962264151,122057,163,166.571,3.096,163.823,178.49,38.33,38.408,0.26,38.33,38.919,161.52,"interpolated",156.968,166.071,38.319,"interpolated",37.81,38.828,0.9998,60,61.5,2.291,60.175,72.884,18.512,18.548,0.167,18.512,18.875,58.082,"interpolated",55.492,60.672,18.489,"interpolated",18.165,18.813,0.9998,-77.6041666666667,43.1458333333333,86,105,28,9312,277,-90,367,157,-28,203,-36,813,82,49,15,230,158,228,162,1817,204,"yes",1981,40,0.32,2.5566046807945,17.568599385792
